id,title,location,colors,focus_key,focus_label,duration,description,summary,extra,optional
sturztraining,Sturztraining,Kletterhalle,lila,,,30 min,"Ziel: Sturzangst abbauen und eine Routine aufbauen, damit Sturzangst gar nicht erst aufkommt.<br><br>Am einfachsten bei jeder Auf- oder Abwärmroute: vor dem Clippen des Umlenkers in den letzten Haken springen. Sicherheit zuerst – man darf nirgendwo anschlagen und der Sturz darf nicht am Boden enden.<br><br><strong>Steigerung in Schritten:</strong> Zunächst mit dem Bauchnabel am Haken springen → dann mit den Knien → dann mit den Füßen am Haken. Größere Stürze sind beim Sportklettern die Ausnahme, mehr ist meist nicht nötig.<br><br>2–3 Routen mit je 2–3 Stürzen.",Sturzangst schrittweise abbauen: kontrolliert in den letzten Haken springen.,"Guter Sicherer ist unverzichtbar: Seil leicht durchhängen lassen, keinen Zug einziehen, Sturz normal abfangen",false
film-im-kopf,Film im Kopf,Kletterhalle / Boulderhalle,lila,,,30–60 min,"Verbesserung der mentalen Vorstellung von Bewegungsabläufen.<br><br>Zum Erlernen zunächst kurze Passagen oder Boulder wählen. Sobald die Technik sitzt, auf komplette Routen anwenden.<br><br><strong>Ablauf:</strong> Route oder Boulder klettern und Züge einprägen. Danach an einem ruhigen Ort die einzelnen Züge laut aussprechen – nicht nur Griffpositionen, sondern auch Empfindungen: „Vorsicht, rutschiger Griff"" oder „Klemmt super ab, durchatmen"".<br><br>Den Bewegungsablauf im Geiste mehrfach durchklettern:<br>• In Worten<br>• Indem man sich selbst sieht<br>• Indem man spürt, wie man klettert<br><br>Die Route dann mental durchklettern und die Zeit messen. Je besser das Vorstellen, desto genauer trifft die gedachte die reale Kletterzeit.","Bewegungsabläufe mental durchklettern – in Worten, Bildern und Gefühl; Zeit vergleichen.",Zur Kontrolle: gedachte und reale Zeit vergleichen; kann auch für Projektrouten genutzt werden,false
last-minute-com,Last Minute.com,Boulderhalle,gelb,,,30–60 min,"Spezielle Wettkampfvorbereitung: in der Wettkampfsituation schnell auf ein neues Problem umschalten lernen. 4–8 Boulder von mittel bis etwas schwer definieren (onsight oder in 1–2 Versuchen kletterbar). Jeden Boulder genau markieren (Start, Ende, alle Griffe). Ablauf: 2 min lesen (Boulder nicht probieren) → 4 min klettern. Ohne Pause direkt weiter zum nächsten.","Schnell auf neue Boulder umschalten: 2 min lesen, 4 min klettern, ohne Pause weiter.",Interessant: mit der Schwierigkeit je nach Ermüdung spielen; nächsten Boulder angehen ohne an Erfolg/Misserfolg des vorherigen zu denken,true
1-versuch-je-minute,1 Versuch je Minute,Boulderhalle,gelb,,,90 min,Umfangbetontes Bouldertraining das eine wettkampfähnliche Belastung simuliert. 6 mittelschwere Boulder definieren. Jede Minute einen Versuch in einem Boulder machen (Zeit wird angesagt). Nach jedem Boulder 6 min Pause (Partner klettert). Dann weiter zum nächsten Boulder. Ziel: möglichst viele Griffe/Züge klettern.,"Jede Minute ein Versuch pro Boulder, dazwischen Pause – wettkampfähnliche Belastung.",Boulder mit geringem Verletzungspotenzial wählen; Anzahl der Boulder und Pausenzeiten kann variiert werden (4×4; 5×5),true
probewettkampf,Probewettkampf,Kletterhalle,gelb|rot,,,90–120 min,"Mentale und physische Vorbereitung auf die Wettkampfsituation. 2 Routen nah am Rotpunktmaximum wählen (eine bereits geklettert, eine noch nicht, aber nah am Durchstieg). Feste Kletterzeiten festlegen (z. B. Aufwärmen 17:00, Route 1 18:30, Route 2 19:15). Timing strikt einhalten. Nach einem Sturz sofort ablassen – auch am Anfang der Route.","Zwei Routen zu festen Zeiten wie im Wettkampf klettern, nach Sturz sofort ablassen.",Es gibt nur je einen Versuch; alles ist von außen vorgegeben wie im Wettkampf – mit dieser Situation umgehen lernen,true
wettkampf-simulation-flash-onsight,Wettkampf-Simulation Flash/Onsight,Kletterhalle,gelb|rot,,,90–150 min,"Unmittelbare Vorbereitung auf einen Lead-Wettkampf. 2 Routen wählen: eine nah am Flashlimit (Quali), eine knapp über dem Onsight-Limit (Finale). Kletterzeiten festlegen wie im echten Wettkampf inkl. Besichtigungszeit (6 min). Nach Sturz sofort ablassen. Schwierigkeit bewusst unterschiedlich: Route 1 muss unbedingt geschafft werden; Route 2 ist kaum zu toppen, möglichst gute Höhe erzielen.",Lead-Wettkampf simulieren: Quali- und Finalroute mit echten Zeiten und Besichtigung.,Aufwärmen und Besichtigung wie beim echten Wettkampf durchführen,true
boulderjagd,Boulderjagd,Boulderhalle,gelb,,,30–60 min,"Kraftausdauer, taktisches Verhalten und Selbsteinschätzung trainieren. Voraussetzung: Boulderhalle mit klar definierten Schwierigkeitsgraden, mehrere ähnlich starke Kletterer. Zeit festlegen (30–45 min). Kletterer sammeln so viele Boulder wie möglich; Punkte nach Schwierigkeit: sehr leicht +2/–1, leicht +4/–2, mittel +8/–4, schwer +12/–6, sehr schwer +20/–10. Kein Boulder darf zweimal geklettert werden.",In begrenzter Zeit möglichst viele Boulder sammeln; Punkte nach Schwierigkeit.,"Kluges taktisches Verhalten nötig: Boulder geschickt auswählen, konzentriert angehen, mit Ermüdung umgehen",true
der-joker,Der Joker,Boulderhalle,gelb,,,40–90 min,"Kraftausdauer verbessern und mit Fehlern umgehen. 3–5 schwierige Boulder (in 3–5 Versuchen kletterbar, 5–15 Züge) und einen leichten anstrengenden Boulder definieren. Gesamtzeit festlegen (15–45 min). Bei einem Sturz in einem schwierigen Boulder muss der leichte „Joker""-Boulder einmal geklettert werden. Nach jedem Versuch den Boulder wechseln. Ziel: am Ende möglichst viele schwierige Boulder geschafft haben.",Bei jedem Sturz muss der leichte Joker-Boulder geklettert werden – Kraftausdauer und Fehlerumgang.,Psychisch sehr nah an der Wettkampfbelastung; Schwierigkeit und Länge der Boulder gut auswählen,true
abschirmen-gegen-konditionellen-druck,Abschirmen gegen konditionellen Druck,Boulderhalle,gelb,,,60–90 min,"Unter Ermüdung klettern und dabei die Technik beibehalten – schult auch die anaerobe Kraftausdauer. 6–10 Boulder (5–10 Züge), die gerade noch sicher geklettert werden können. Zwischen den Bouldern genau 2 min Pause. Auf korrekte Technik achten. Bei Sturz wird der Boulder von diesem Zug ab noch zu Ende geklettert. 2–3 Durchgänge mit je 20 min Pause.",6–10 Boulder mit exakt 2 min Pause unter Ermüdung sauber klettern.,Pausen exakt einhalten; es geht nicht ums Boulder-schaffen sondern ums Umgehen mit dem Druck durch zunehmende Ermüdung,true
der-drittelboulder,Der Drittelboulder,Boulderhalle,gelb,,,60–90 min,"Kraftausdauer und Willenskraft beim Bouldern; dient auch der Wettkampfvorbereitung. 6–8 bekannte Boulder wählen (anstrengend bis schwer, aber noch einigermaßen sicher). Ablauf je Boulder: erstes Drittel klettern → nachchalken (30 sek) → zweites Drittel → nachchalken (30 sek) → ganzen Boulder klettern. Nach jedem Boulder 5–8 min Pause.","Boulder in Dritteln mit Nachchalken klettern, dann komplett – Kraftausdauer und Willenskraft.",Simuliert Wettkampfbelastungen; schult psychische Härte beim wiederholten Klettern der gleichen Züge,true
boulderrausch,Boulderrausch,Boulderhalle,gelb,,,30–60 min,"Kraftausdauer trainieren – Energiereserven erhöhen, mehr Züge ohne vollständige Pause klettern. Vor allem als Vorbereitung für Boulderwettkämpfe geeignet. 8–10 mittelschwere bekannte Boulder (5–8 Züge, sicher kletterbar) bilden 1 Satz. Zwischen den Bouldern unvollständige Pause (2–3 min). Nach dem Satz vollständige Pause (10–15 min). 1–2 weitere Sätze.",8–10 bekannte Boulder als Satz mit unvollständiger Pause – Energiereserven erhöhen.,"Alle Boulder sollten geschafft werden; „unvollständige Pause"" = nicht 100% erholt wenn nächster Versuch beginnt",true
ropegun,Ropegun,Kletterhalle,grün,,,60–90 min,"Ausdauer beim Routenklettern verbessern – einfach weiterklettern auch wenn die Unterarme brennen. Variante 1: 3–5 Routen (1 Satz) je 1–1,5 Schwierigkeitsgrade unter Rotpunktgrenze, 2–3 min Pause zwischen Routen. Danach wiederholen. Variante 2: Route auf und ab klettern bis man herausfällt, vollständige Pause (~8–10 min), 3 Sätze je Person.",Mehrere Routen mit kurzen Pausen klettern und Ausdauer trainieren – weiter trotz Pump.,Möglichst viele Routen bereits kennen; bei knappem Durchstieg einen Schummelgriff/-tritt erlauben,true
der-gladiator,Der Gladiator,Boulderhalle,gelb|rot,,,35–90 min,Maximalkraft verbessern und einem anderen Kletterrhythmus folgen. Duelle aus ähnlich starken Kletterern. Beide Kletterer mit einem 4–5 m langen Seil/Gummiband verbunden – zweiter muss sich dem Tempo des ersten anpassen und exakt die gleichen Griffe klettern. Duell endet wenn einer stürzt oder der Vordere das Seil deutlich spannt. 10–15 min Pause; 4–6 Duelle gesamt.,Mit Seil verbundene Duelle: dem Tempo und den Griffen des Vorderen exakt folgen.,Vorsteiger kann Sturz des zweiten durch Tempo-Variation und Griffauswahl provozieren,true
am-limit,Am Limit,Kletterhalle,gelb|rot,,,120–180 min,"Anaerobe Kraftausdauer und das Klettern schwerer Züge mit Vorermüdung schulen. Bekannte Routen mit mindestens 20 Zügen suchen, die gerade noch durchstiegen werden können. Etwa 2 solcher Routen hintereinander durchsteigen, dann Partnerwechsel, 10–15 min Pause. 4–5 Serien.",Lange Routen mit Vorermüdung in Serien durchsteigen – anaerobe Kraftausdauer.,"Taktisches Wissen anwenden (Atmung, Bewegungsgefühl); Route bis zum Ende klettern – notfalls Zusatzgriff/-tritt nutzen",true
von-crux-zu-crux,Von Crux zu Crux,Boulderhalle,gelb|rot,,,90–160 min,Anaerobe Kraftausdauer und schwere Züge mit Vorermüdung. An 2–3 weit auseinander liegenden Stellen je einen schweren Zug definieren (Griffarten und Zugarten variieren). Diese Schlüsselzüge mit leichteren Passagen zu einem zusammenhängenden Boulder (20–30 Züge) verbinden. 2–3 Versuche mit 5–10 min Pause. 3–4 solcher Boulder gesamt.,Schwere Einzelzüge mit leichten Passagen zu einem langen Boulder verbinden.,"Schwierigkeit der Züge so wählen, dass sie nach Vorermüdung gerade noch machbar sind",true
60-minuten-gegen-die-stoppuhr,60 Minuten gegen die Stoppuhr,Boulderhalle,gelb,,,50–90 min,"Kraftausdauer verbessern und schnell Züge analysieren/umsetzen. 6 Boulder (4–8 Züge, mittelschwer: bei 4 von 5 Versuchen kletterbar) definieren. Einen Punkt 10–15 m entfernt markieren. Boulder klettern, zur Markierung laufen, weiter. Bei Sturz: zur Markierung und erneut versuchen. Ziel: alle 6 Boulder so schnell wie möglich. Zeit stoppen. 4–6 Durchgänge mit 6 min Pause.","6 Boulder gegen die Uhr, dazwischen zu einer Markierung laufen – Intervalltraining.",Intensives Intervalltraining mit hohen technischen und kognitiven Anforderungen kombiniert,true
selbstgesprach,Selbstgespräch,Kletterhalle,lila,,,60 min,"Den inneren Dialog kennenlernen und positiv umformulieren. Schritt 1: Eine leichte und eine schwere Route klettern; danach das Selbstgespräch während des Kletterns notieren (wie war es als es lief, bei Problemen, wenn man nicht mehr wusste wie weiter?). Schritt 2: Aus den positiven Selbstgesprächen eine kurze positive Formel entwickeln (mit „Ich"" und positiven Formulierungen). Schritt 3: Formeln beim Klettern testen.",Inneren Dialog beim Klettern notieren und in positive Formeln umwandeln.,Die Gespräche müssen tatsächlich aufgeschrieben werden,true
getraumt-oder-wahr,Geträumt oder wahr?,Kletterhalle,lila,,,ca. 20 min,"Vorstellungsvermögen schulen und vorgestellte Begehung mit der Realität vergleichen. Eine Route wählen, die unter Anstrengung noch sicher geschafft wird. Nach intensiver Besichtigung: von der Wand wegdrehen, Augen schließen, Route gedanklich durchsteigen – alle Bewegungen, Clips und Sinneseindrücke imitieren (Wie fühlen sich Griffe/Züge an? Was höre ich? Wie sehr strenge ich mich an?). Bei gedanklichem Einstieg „Los"" sagen, bei oben „Fertig"" – Zeit stoppen. Dann wirklich einsteigen und Zeit erneut stoppen. Ziel: Zeiten angleichen.",Route mit geschlossenen Augen mental durchsteigen und Zeit mit realer Begehung vergleichen.,Auf Unterschiede zwischen echten und imaginären Sinneseindrücken achten; kann auch als Bouldern durchgeführt werden,true
pacing,Pacing,Kletterhalle,lila,fluessiger-klettern,Flüssiger Klettern,30–60 min,"Persönliche Klettergeschwindigkeit überprüfen und optimieren. Route oder Boulder (15–20 Züge) suchen. Einmal in einem Zuge ohne Pause klettern. Einmal mit 2–4 Ruhepunkten klettern. Welche Methode war besser – oder ein Mix? Außerdem: Route zweimal klettern – einmal mit, einmal ohne Chalkbeutel; überprüfen wo Chalken tatsächlich etwas bringt.","Eigene Klettergeschwindigkeit testen: in einem Zug vs. mit Ruhepunkten, mit und ohne Chalk.","Kombination mit „Film im Kopf"" möglich; immer: angemessen chalken",true
speedbouldern,Speedbouldern,Boulderhalle,lila,,,30 min,"Klettergeschwindigkeit verbessern und Vorstellung von Bewegungsabläufen schulen. 2–3 Kletterer; gemeinsam Start- und Zielgriff definieren (restliche Griffe frei, 4–6 Züge). Den schnellsten Bewegungsablauf mehrfach im Geiste durchgehen. Dann wegdrehen: Partner stoppt gedachte Kletterzeit bis „Stopp"" gesagt wird. Danach wirklich klettern (Zeit stoppen) und beide Zeiten vergleichen – sie sollen sich annähern. 2–3 Boulder je 5-mal klettern.",Kurze Boulder mental optimieren und auf Zeit klettern; gedachte und reale Zeit angleichen.,Variiere Routen regelmäßig um sich nicht zu sehr an den Bewegungsablauf zu gewöhnen,true
viele-tops,Viele TOPs,Kletterhalle,gelb|lila,fluessiger-klettern,Flüssiger Klettern,60–90 min,"Kletterablauf mit typischen Wettkampfsituationen neu organisieren und Kraftausdauer verbessern. Route ca. 1/3–2/3 Grade unter der Onsightgrenze wählen. Route 3–4-mal mit je 10 min Pause klettern. Beim Klettern werden vom Sicherer zufällig Zusatzaufgaben zugerufen: TOP Abklettern (4 m absteigen), TOP Füße in die Luft (2 sek), TOP Ruhen (30 sek in aktueller Stellung), TOP Griffwechsel, TOP Einfrieren (10 sek). Abschließend die Route einmal ohne Zusatzaufgaben.",Route mehrfach klettern und dabei zugerufene Zusatzaufgaben (TOPs) umsetzen.,Die TOPs beinhalten Dinge die bei der Begehung einer Route auftreten können,true
atmung-beim-routenklettern,Atmung beim Routenklettern,Kletterhalle / Boulderhalle,lila,,,60–120 min,"Atmung der Klettersituation anpassen lernen. Beim Bouldern: Vor jedem Einsteigen bewusst auf „Ausatmen"" oder „ruhig atmen"" konzentrieren; unmittelbar nach dem Klettern Atmung prüfen. Beim Routenklettern: 2–4 Ruhepunkte festlegen, an denen man sich während des Kletterns auf die Atmung konzentriert; vor dem Einsteigen „Weiteratmen""; an Ruhepunkten bewusst bei jedem Atemzug die Schultern fallen lassen.","Atmung bewusst an die Klettersituation anpassen, an Ruhepunkten gezielt ausatmen.","Kletterer soll wissen: es geht ums Atmen, nicht ums Ankommen oben",true
selbstvertrauen-aufbauen,Selbstvertrauen aufbauen,Kletterhalle,lila,,,60–90 min,"Mentale Wettkampfvorbereitung: gezielt Erfolgserlebnisse sammeln, um mit Selbstvertrauen an den Start zu gehen. Zwei Varianten: (a) mehrere Standardrouten an der persönlichen Leistungsgrenze 3–4-mal sicher klettern; (b) gezielt 3–4 Routen knapp unter der Bestleistung (in 2–3 Versuchen kletterbar, ca. ½–1 Grad unter dem Maximum) rotpunkt klettern und „abhaken“. Im Mittelpunkt steht das Gefühl, sicher und kontrolliert zu klettern.","Kurz vor dem Wettkampf gezielt machbare Routen klettern und Erfolge sammeln, um Selbstvertrauen aufzubauen.",Am besten in den letzten Trainings vor einem Wettkampf einsetzen.,true
schluesselstellen-klettern,Schlüsselstellen klettern,Boulderhalle,gelb,fluessiger-klettern,Flüssiger Klettern,,"In einer 3er-Gruppe werden drei mittelschwere Boulder über Ruhepunkte zu einem langen Boulder verbunden. Ziel ist es, das Umschalten von gleichmäßig-weichem Klettern auf „Gas geben“ an den Schlüsselstellen und wieder zurück zu lernen. An den Ruhepunkten auf eine entspannte Position, ruhiges Atmen und ein angemessenes Hineinklettern in die schwere Stelle achten. Wer gerade nicht klettert, gibt Rückmeldung.",Drei Boulder über Ruhepunkte verbinden und das Umschalten zwischen Ruhen und „Gas geben“ an Schlüsselstellen üben.,,true
problemzuege-bouldern,Problemzüge bouldern,Boulderhalle,rot,,,,"Wettkampfnachbereitung: Eine Stelle, an der man im letzten Wettkampf gescheitert ist, wird nachgeschraubt und auf etwa drei Züge reduziert. Diese Sequenz 6–10-mal mit je ca. 2 min Pause klettern. Für 3–4 verschiedene Problemstellen wiederholen und herausfinden, welche Lösung funktioniert. Die Sequenzen anschließend schrittweise schwieriger gestalten.","Gescheiterte Wettkampf-Stellen nachbauen, auf wenige Züge reduzieren und gezielt mehrfach klettern.",,true
blocs-en-stock,Blocs en stock,Boulderhalle,rot,,,,"Leistungsfähigkeit beim Klettern sehr schwerer Züge steigern. 10–12 schwere, bereits bekannte Boulder (5–10 Züge) ohne Zeitdruck klettern, je maximal 4–5 Versuche. Zwischen Versuchen und Bouldern 5–10 min Pause. Steilheit und Griffarten bewusst variieren; Ziel ist, mindestens 80 % der Boulder zu schaffen.","10–12 schwere bekannte Boulder mit viel Pause klettern – maximal 4–5 Versuche, mindestens 80 % schaffen.",,true
maximator,Maximator,Boulderhalle,rot,,,,Maximalkraft und das Klettern maximal schwerer Einzelzüge schulen. Zwei weit auseinanderliegende Griffe suchen und von dort einen möglichst weiten Zug auf einen dritten Griff machen. 2–3 mittelschwere Startzüge definieren und Griff- sowie Zugarten variieren. Den Boulder in 3–4 Versuchen durchsteigen; insgesamt 3–4 solcher Boulder.,Maximal weite Einzelzüge zwischen weit auseinanderliegenden Griffen klettern – Maximalkraft pur.,Lässt sich gut mit einer gelben Kraftausdauereinheit kombinieren.,true
